Table 1
Country/Territory,UN region,IMF[1][13],World Bank[14],United Nations[15]
Forecast,Year,Estimate,Year,Estimate,Year
World,—,"109,529,216",2024,"100,879,560",2022,"100,834,796",2022
United States,Americas,"28,781,083",2024,"25,439,700",2022,"25,744,100",2022
China,Asia,"18,532,633",[n 1]2024,"17,963,171",[n 3]2022,"17,963,170",[n 1]2022
Germany,Europe,"4,591,100",2024,"4,082,469",2022,"4,076,923",2022
Japan,Asia,"4,110,452",2024,"4,256,410",2022,"4,232,173",2022
India,Asia,"3,937,011",2024,"3,416,645",2022,"3,465,541",2022
United Kingdom,Europe,"3,495,261",2024,"3,089,072",2022,"3,089,072",2022
France,Europe,"3,130,014",2024,"2,779,092",2022,"2,775,316",2022
Brazil,Americas,"2,331,391",2024,"1,920,095",2022,"1,920,095",2022
Italy,Europe,"2,328,028",2024,"2,049,737",2022,"2,046,952",2022
Canada,Americas,"2,242,182",2024,"2,161,483",2022,"2,137,939",2022
Russia,Europe,"2,056,844",2024,"2,240,422",2022,"2,240,422",2022
Mexico,Americas,"2,017,025",2024,"1,465,854",2022,"1,463,323",2022
Australia,Oceania,"1,790,348",2024,"1,692,956",2022,"1,776,577",2022
South Korea,Asia,"1,760,947",2024,"1,673,916",2022,"1,673,916",2022
Spain,Europe,"1,647,114",2024,"1,417,800",2022,"1,415,874",2022
Indonesia,Asia,"1,475,690",2024,"1,319,100",2022,"1,319,100",2022
Netherlands,Europe,"1,142,513",2024,"1,009,398",2022,"1,008,027",2022
Turkey,Asia,"1,113,561",2024,"907,118",2022,"907,118",2022
Saudi Arabia,Asia,"1,106,015",2024,"1,108,571",2022,"1,108,148",2022
Switzerland,Europe,"938,458",2024,"818,426",2022,"818,426",2022
Poland,Europe,"844,623",2024,"688,125",2022,"688,125",2022
Taiwan,Asia,"802,958",[n 4]2024,—,—
Belgium,Europe,"655,192",2024,"583,435",2022,"582,643",2022
Sweden,Europe,"623,048",2024,"591,718",2022,"591,188",2022
Argentina,Americas,"604,260",2024,"631,133",2022,"631,133",2022
Ireland,Europe,"564,020",2024,"533,140",2022,"532,415",2022
Thailand,Asia,"548,890",2024,"495,423",2022,"495,340",2022
Austria,Europe,"540,887",2024,"470,941",2022,"470,302",2022
Israel,Asia,"530,664",2024,"525,002",2022,"525,002",2022
United Arab Emirates,Asia,"527,796",2024,"507,063",2022,"507,063",2022
Norway,Europe,"526,951",2024,"593,348",2022,"579,422",2022
Singapore,Asia,"525,228",2024,"466,788",2022,"466,788",2022
Philippines,Asia,"471,516",2024,"404,284",2022,"404,284",2022
Vietnam,Asia,"465,814",2024,"408,802",2022,"408,802",2022
Iran,Asia,"464,181",2024,"413,493",2022,"398,047",2022
Bangladesh,Asia,"455,162",2024,"460,201",2022,"432,677",2022
Malaysia,Asia,"445,519",2024,"407,027",2022,"406,305",2022
Denmark,Europe,"409,989",2024,"400,167",2022,"400,167",2022
Hong Kong,Asia,"406,775",[n 5]2024,"359,838",2022,"359,838",2022
Colombia,Americas,"386,076",2024,"343,622",2022,"343,939",2022
South Africa,Africa,"373,233",2024,"405,270",2022,"405,270",2022
Romania,Europe,"369,971",2024,"300,691",2022,"300,690",2022
Egypt,Africa,"347,594",2024,"476,747",2022,"409,306",2022
Pakistan,Asia,"338,237",2023,"374,697",2022,"326,796",2022
Chile,Americas,"333,760",2024,"301,024",2022,"300,686",2022
Czech Republic,Europe,"325,880",2024,"290,565",2022,"290,527",2022
Finland,Europe,"308,055",2024,"282,649",2022,"282,511",2022
Portugal,Europe,"298,949",2024,"255,196",2022,"254,849",2022
Kazakhstan,Asia,"296,740",2024,"225,496",2022,"225,496",2022
